True_Label,Predicted_Label,Confidence_Score,Correct
Potato___Early_blight,Potato___Early_blight,0.9606,True
Potato___Late_blight,Potato___Late_blight,0.9868,True
Potato___Late_blight,Potato___Late_blight,0.9430,True
Potato___Early_blight,Potato___Early_blight,0.9982,True
Potato___Early_blight,Potato___Early_blight,0.9998,True
Potato___Early_blight,Potato___Early_blight,0.9755,True
Potato___Early_blight,Potato___Early_blight,0.9741,True
Potato___Early_blight,Potato___Early_blight,0.9961,True
Potato___Late_blight,Potato___Late_blight,0.9918,True
Potato___Early_blight,Potato___Early_blight,0.9998,True
Potato___Late_blight,Potato___Late_blight,0.8954,True
Potato___Late_blight,Potato___Late_blight,0.9995,True
Potato___Early_blight,Potato___Early_blight,0.9058,True
Potato___Early_blight,Potato___Early_blight,0.9976,True
Potato___healthy,Potato___healthy,0.9802,True
Potato___Early_blight,Potato___Early_blight,0.8838,True
Potato___Early_blight,Potato___Early_blight,0.9719,True
Potato___Late_blight,Potato___Late_blight,0.9991,True
Potato___Early_blight,Potato___Early_blight,0.9956,True
Potato___Early_blight,Potato___Early_blight,0.9973,True
Potato___Late_blight,Potato___Late_blight,0.9946,True
Potato___Early_blight,Potato___Early_blight,0.8769,True
Potato___Late_blight,Potato___Late_blight,0.7730,True
Potato___Late_blight,Potato___Late_blight,0.9965,True
Potato___Early_blight,Potato___Early_blight,0.9982,True
Potato___Late_blight,Potato___Late_blight,0.9845,True
Potato___Late_blight,Potato___Late_blight,0.8964,True
Potato___Late_blight,Potato___Late_blight,0.9925,True
Potato___Late_blight,Potato___Late_blight,0.9942,True
Potato___Late_blight,Potato___Late_blight,0.9940,True
Potato___Early_blight,Potato___Early_blight,0.8762,True
Potato___Early_blight,Potato___Early_blight,0.9955,True
Potato___healthy,Potato___healthy,0.9388,True
Potato___healthy,Potato___Late_blight,0.4956,False
Potato___Early_blight,Potato___Early_blight,0.9995,True
Potato___Early_blight,Potato___Early_blight,0.9990,True
Potato___Early_blight,Potato___Early_blight,0.9945,True
Potato___Late_blight,Potato___Late_blight,0.9962,True
Potato___Late_blight,Potato___Late_blight,0.9918,True
Potato___Early_blight,Potato___Early_blight,0.9981,True
Potato___Late_blight,Potato___Late_blight,0.9898,True
Potato___Late_blight,Potato___Late_blight,0.9885,True
Potato___Early_blight,Potato___Early_blight,0.9998,True
Potato___Late_blight,Potato___Late_blight,0.9954,True
Potato___Late_blight,Potato___Late_blight,0.9988,True
Potato___Early_blight,Potato___Early_blight,0.9990,True
Potato___Late_blight,Potato___Late_blight,0.8492,True
Potato___Early_blight,Potato___Early_blight,0.9925,True
Potato___healthy,Potato___Late_blight,0.6180,False
Potato___Early_blight,Potato___Early_blight,0.9986,True
Potato___Late_blight,Potato___Late_blight,0.9973,True
Potato___Early_blight,Potato___Early_blight,1.0000,True
Potato___Early_blight,Potato___Early_blight,0.9982,True
Potato___Early_blight,Potato___Early_blight,0.9980,True
Potato___Late_blight,Potato___Late_blight,0.9885,True
Potato___Late_blight,Potato___Late_blight,0.9924,True
Potato___Late_blight,Potato___Late_blight,0.9848,True
Potato___Late_blight,Potato___Late_blight,0.9298,True
Potato___Early_blight,Potato___Early_blight,0.9997,True
Potato___Early_blight,Potato___Early_blight,0.9747,True
Potato___healthy,Potato___Late_blight,0.6270,False
Potato___Early_blight,Potato___Early_blight,0.9909,True
Potato___Late_blight,Potato___Late_blight,0.9614,True
Potato___Late_blight,Potato___Late_blight,0.9994,True
Potato___Late_blight,Potato___Late_blight,0.9683,True
Potato___Early_blight,Potato___Early_blight,0.9876,True
Potato___Early_blight,Potato___Early_blight,0.9999,True
Potato___Early_blight,Potato___Early_blight,0.9966,True
Potato___healthy,Potato___healthy,0.9897,True
Potato___Early_blight,Potato___Early_blight,0.9893,True
Potato___Late_blight,Potato___Late_blight,0.9938,True
Potato___healthy,Potato___healthy,0.9791,True
Potato___Late_blight,Potato___Late_blight,0.9822,True
Potato___Late_blight,Potato___Late_blight,0.9995,True
Potato___Early_blight,Potato___Early_blight,0.9991,True
Potato___Early_blight,Potato___Early_blight,0.9907,True
Potato___Late_blight,Potato___Late_blight,0.9852,True
Potato___Early_blight,Potato___Early_blight,0.9931,True
Potato___Early_blight,Potato___Early_blight,0.9902,True
Potato___Early_blight,Potato___Early_blight,0.9981,True
Potato___Late_blight,Potato___Late_blight,0.9995,True
Potato___Early_blight,Potato___Early_blight,0.9892,True
Potato___healthy,Potato___healthy,0.9782,True
Potato___Early_blight,Potato___Early_blight,0.9943,True
Potato___Late_blight,Potato___Late_blight,1.0000,True
Potato___Late_blight,Potato___Late_blight,0.9694,True
Potato___healthy,Potato___healthy,0.9862,True
Potato___Early_blight,Potato___Early_blight,0.9460,True
Potato___Late_blight,Potato___Late_blight,0.9944,True
Potato___Early_blight,Potato___Early_blight,0.9650,True
Potato___healthy,Potato___healthy,0.9917,True
Potato___Early_blight,Potato___Early_blight,0.9296,True
Potato___healthy,Potato___healthy,0.9896,True
Potato___Late_blight,Potato___Late_blight,0.9962,True
Potato___Early_blight,Potato___Early_blight,0.9997,True
Potato___Late_blight,Potato___Late_blight,0.9982,True
Potato___Early_blight,Potato___Early_blight,1.0000,True
Potato___Late_blight,Potato___Late_blight,0.9970,True
Potato___Late_blight,Potato___Late_blight,0.9968,True
Potato___Early_blight,Potato___Early_blight,0.9999,True
Potato___Early_blight,Potato___Early_blight,0.9977,True
Potato___Late_blight,Potato___Late_blight,0.5303,True
Potato___Late_blight,Potato___Late_blight,0.9786,True
Potato___Late_blight,Potato___Late_blight,0.5606,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Late_blight,Potato___Late_blight,1.0000,True
Potato___Early_blight,Potato___Early_blight,0.9814,True
Potato___Late_blight,Potato___Late_blight,0.9991,True
Potato___Early_blight,Potato___Early_blight,1.0000,True
Potato___Early_blight,Potato___Early_blight,0.9962,True
Potato___Early_blight,Potato___Early_blight,0.9997,True
Potato___Late_blight,Potato___Late_blight,0.9140,True
Potato___Early_blight,Potato___Early_blight,0.9952,True
Potato___Early_blight,Potato___Early_blight,0.9386,True
